2665212, 138063, 'View Name', '', 0, 'Structural Foundation Schedule', '', 'String', 'Identity Data', '', 'Text'
2665217, 138063, 'Family', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2665224, 138063, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
2665225, 138063, 'Family and Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2665226, 138063, 'Phase', '', 0, 'New Construction', '0', 'ElementId', 'Phasing', '', 'Invalid'
2665227, 138063, 'Type Id', '', 1, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2665228, 138063, 'Phase Filter', '', 0, 'Show All', '687', 'ElementId', 'Phasing', '', 'Invalid'
2665230, 138063, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
2667424, 140172, 'Sheet Number', '', 1, 'AST-07-G-001', '', 'String', 'Identity Data', '', 'Text'
2667485, 140227, 'Sheet Number', '', 1, 'AST-07-1-001', '', 'String', 'Identity Data', '', 'Text'
2667517, 140309, 'Sheet Number', '', 1, 'AST-07-2-001', '', 'String', 'Identity Data', '', 'Text'
2667573, 140390, 'Sheet Number', '', 1, 'AST-07-R-001', '', 'String', 'Identity Data', '', 'Text'
2667619, 140425, 'Sheet Number', '', 1, 'AST-07-U-001', '', 'String', 'Identity Data', '', 'Text'
2667665, 140495, 'Sheet Number', '', 1, 'AST-07-P-001', '', 'String', 'Identity Data', '', 'Text'
2671012, 144368, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
2671016, 144368, 'Family and Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671017, 144368, 'Phase Filter', '', 0, 'Show All', '687', 'ElementId', 'Phasing', '', 'Invalid'
2671020, 144368, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
2671021, 144368, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
2671022, 144368, 'Type Id', '', 1, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671024, 144368, 'Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671025, 144368, 'Phase', '', 0, 'New Construction', '0', 'ElementId', 'Phasing', '', 'Invalid'
2671027, 144368, 'Family', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671029, 144368, 'View Name', '', 0, 'Column Material Takeoff', '', 'String', 'Identity Data', '', 'Text'
2671064, 144371, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
2671066, 144371, 'View Name', '', 0, 'Structural Column Material Takeoff', '', 'String', 'Identity Data', '', 'Text'
2671068, 144371, 'Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671070, 144371, 'Family', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671072, 144371, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
2671073, 144371, 'Family and Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671077, 144371, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
2671078, 144371, 'Phase', '', 0, 'New Construction', '0', 'ElementId', 'Phasing', '', 'Invalid'
2671079, 144371, 'Phase Filter', '', 0, 'Show All', '687', 'ElementId', 'Phasing', '', 'Invalid'
2671081, 144371, 'Type Id', '', 1, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671111, 144374, 'Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671115, 144374, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
2671118, 144374, 'Family and Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671123, 144374, 'Type Id', '', 1, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671127, 144374, 'Phase Filter', '', 0, 'Show All', '687', 'ElementId', 'Phasing', '', 'Invalid'
2671129, 144374, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
2671130, 144374, 'View Name', '', 0, 'Floor Material Takeoff', '', 'String', 'Identity Data', '', 'Text'
2671131, 144374, 'Family', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671132, 144374, 'Phase', '', 0, 'New Construction', '0', 'ElementId', 'Phasing', '', 'Invalid'
2671133, 144374, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
2671165, 144377, 'Family and Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671172, 144377, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
2671173, 144377, 'Phase', '', 0, 'New Construction', '0', 'ElementId', 'Phasing', '', 'Invalid'
2671174, 144377, 'Family', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671176, 144377, 'Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671178, 144377, 'Type Id', '', 1, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671179, 144377, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
2671180, 144377, 'View Name', '', 0, 'Wall Material Takeoff', '', 'String', 'Identity Data', '', 'Text'
2671182, 144377, 'Phase Filter', '', 0, 'Show All', '687', 'ElementId', 'Phasing', '', 'Invalid'
2671183, 144377, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
2671216, 144380, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
2671217, 144380, 'Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671218, 144380, 'Phase', '', 0, 'New Construction', '0', 'ElementId', 'Phasing', '', 'Invalid'
2671220, 144380, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
2671227, 144380, 'Family', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671228, 144380, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
2671231, 144380, 'Type Id', '', 1, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671232, 144380, 'Family and Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2671233, 144380, 'Phase Filter', '', 0, 'Show All', '687', 'ElementId', 'Phasing', '', 'Invalid'
2671234, 144380, 'View Name', '', 0, 'Structural Foundation Material Takeoff', '', 'String', 'Identity Data', '', 'Text'
2674898, 150160, 'Sheet Number', '', 1, 'ZZ-AST-07-U-005 OLD', '', 'String', 'Identity Data', '', 'Text'
2676188, 151084, 'Sheet Number', '', 1, 'AST-07-U-21', '', 'String', 'Identity Data', '', 'Text'
2676235, 151089, 'Sheet Number', '', 1, 'AST-07-U-22', '', 'String', 'Identity Data', '', 'Text'
2677338, 151788, 'Sheet Number', '', 1, 'AST-07-U-20', '', 'String', 'Identity Data', '', 'Text'
